,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls,total.players,majmin
151,141,302,Individuals in voting groups,2,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
152,141,302,Individuals in voting groups,3,2,1,1,1,1,2,0,1,0,0,1,50,NA,majority
153,141,302,Individuals in voting groups,4,1,2,0,1,2,1,0,1,0,0,0,50,NA,minority
154,141,302,Individuals in voting groups,5,3,4,0,0,3,4,0,1,0,0,1,90,NA,majority
155,141,302,Individuals in voting groups,6,5,5,1,0,5,5,0,1,0,0,0,90,NA,minority
156,141,302,Individuals in voting groups,7,4,4,1,0,4,4,0,0,0,0,0,90,NA,minority
157,141,302,Individuals in voting groups,8,4,4,1,1,4,4,0,1,0,0,0,90,NA,majority
158,141,302,Individuals in voting groups,9,4,4,1,1,4,4,0,1,0,0,0,90,NA,majority
159,141,302,Individuals in voting groups,10,1,1,1,1,1,1,0,0,0,0,1,50,NA,majority
160,141,302,Individuals in voting groups,11,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
161,141,302,Individuals in voting groups,12,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
162,141,302,Individuals in voting groups,13,2,2,1,1,2,2,0,1,0,0,0,50,NA,majority
163,141,302,Individuals in voting groups,14,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
164,141,302,Individuals in voting groups,15,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
165,141,302,Individuals in voting groups,16,1,-2,1,0,1,-2,1,0,0,0,0,50,NA,minority
166,141,302,Individuals in voting groups,17,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
167,141,302,Individuals in voting groups,18,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
168,141,302,Individuals in voting groups,19,1,1,1,1,1,1,0,0,0,0,0,50,NA,majority
169,141,302,Individuals in voting groups,20,2,1,1,1,1,2,0,0,0,0,NA,50,NA,majority
170,3,303,Individuals in voting groups,1,5,5,0,0,5,5,0,1,0,0,0,90,NA,majority
171,3,303,Individuals in voting groups,2,1,-2,0,0,1,-2,1,1,0,0,0,50,NA,majority
172,3,303,Individuals in voting groups,3,1,-2,0,0,1,-2,1,1,0,0,NA,50,NA,majority
173,57,303,Individuals in voting groups,1,5,5,1,0,5,5,0,1,0,0,1,90,NA,minority
174,57,303,Individuals in voting groups,2,2,-2,0,0,2,-2,1,1,0,0,0,50,NA,majority
175,57,303,Individuals in voting groups,3,2,-4,0,0,2,-4,1,1,0,0,0,50,NA,majority
