,id,trial,treatment,conf.HA,conf.SA,sel.adv,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls
192,10,12,Individuals,5,4,1,4,5,0,1,1,1,0,90
193,10,13,Individuals,1,1,1,1,1,0,1,1,1,0,50
194,10,14,Individuals,5,5,1,5,5,0,0,0,0,0,90
195,10,15,Individuals,1,1,1,1,1,0,0,0,0,0,50
196,10,16,Individuals,1,2,1,2,1,0,0,0,0,0,50
197,10,17,Individuals,1,2,1,2,1,0,0,0,0,0,50
198,10,18,Individuals,1,2,1,2,1,0,1,1,1,0,50
199,10,19,Individuals,1,1,1,1,1,0,1,1,1,0,50
200,10,20,Individuals,1,1,1,1,1,0,0,0,0,NA,50
201,11,1,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
202,11,2,Individuals,1,-2,0,1,-2,1,1,1,0,0,50
203,11,3,Individuals,2,-3,0,2,-3,1,1,1,0,0,50
204,11,4,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
205,11,5,Individuals,2,-2,0,2,-2,1,0,0,1,0,50
206,11,6,Individuals,5,5,0,5,5,0,1,1,1,0,90
207,11,7,Individuals,2,-3,0,2,-3,1,1,1,0,0,50
208,11,8,Individuals,1,-4,0,1,-4,1,0,0,1,0,50
209,11,9,Individuals,5,5,0,5,5,0,1,1,1,0,90
210,11,10,Individuals,2,-2,0,2,-2,1,0,0,1,0,50
211,11,11,Individuals,2,-4,0,2,-4,1,1,1,0,1,50
212,11,12,Individuals,2,2,1,2,2,0,0,0,0,0,50
213,11,13,Individuals,1,1,1,1,1,0,1,1,1,1,50
214,11,14,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
215,11,15,Individuals,3,4,0,3,4,0,1,1,1,0,90
216,11,16,Individuals,1,-2,0,1,-2,1,1,1,0,0,50
217,11,17,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
218,11,18,Individuals,5,5,0,5,5,0,1,1,1,0,90
219,11,19,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
220,11,20,Individuals,5,5,0,5,5,0,1,1,1,NA,90
221,12,1,Individuals,4,5,0,4,5,0,1,1,1,0,90
222,12,2,Individuals,3,5,0,3,5,0,1,1,1,0,90
223,12,3,Individuals,5,5,0,5,5,0,1,1,1,0,90
224,12,4,Individuals,2,-3,0,2,-3,1,0,0,1,0,50
225,12,5,Individuals,2,-3,0,2,-3,1,0,0,1,0,50
226,12,6,Individuals,2,-3,0,2,-3,1,0,0,1,1,50
227,12,7,Individuals,1,1,1,1,1,0,1,1,1,0,50
228,12,8,Individuals,1,1,1,1,1,0,1,1,1,0,50
229,12,9,Individuals,1,1,1,1,1,0,1,1,1,0,50
230,12,10,Individuals,1,2,1,2,1,0,0,0,0,0,50
231,12,11,Individuals,4,4,1,4,4,0,1,1,1,0,90
232,12,12,Individuals,1,1,1,1,1,0,1,1,1,0,50
233,12,13,Individuals,4,5,1,5,4,0,0,0,0,0,90
234,12,14,Individuals,1,1,1,1,1,0,0,0,0,0,50
235,12,15,Individuals,2,1,1,1,2,0,0,0,0,0,50
236,12,16,Individuals,1,1,1,1,1,0,0,0,0,0,50
237,12,17,Individuals,2,2,1,2,2,0,0,0,0,1,50
238,12,18,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
239,12,19,Individuals,2,-3,0,2,-3,1,1,1,0,0,50
240,12,20,Individuals,1,-3,0,1,-3,1,0,0,1,NA,50
241,13,1,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
242,13,2,Individuals,5,4,1,4,5,0,0,0,0,1,90
243,13,3,Individuals,5,5,0,5,5,0,1,1,1,0,90
244,13,4,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
245,13,5,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
246,13,6,Individuals,5,4,0,5,4,0,1,1,1,0,90
247,13,7,Individuals,2,-3,0,2,-3,1,1,1,0,0,50
248,13,8,Individuals,3,4,0,3,4,0,0,0,0,0,90
249,13,9,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
250,13,10,Individuals,1,-4,0,1,-4,1,0,0,1,1,50
251,13,11,Individuals,1,1,1,1,1,0,1,1,1,0,50
252,13,12,Individuals,2,1,1,1,2,0,0,0,0,0,50
253,13,13,Individuals,1,2,1,2,1,0,0,0,0,1,50
254,13,14,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
255,13,15,Individuals,5,5,0,5,5,0,1,1,1,0,90
256,13,16,Individuals,1,-4,0,1,-4,1,0,0,1,1,50
257,13,17,Individuals,1,1,1,1,1,0,1,1,1,0,50
258,13,18,Individuals,1,1,1,1,1,0,1,1,1,0,50
259,13,19,Individuals,1,1,1,1,1,0,0,0,0,1,50
260,13,20,Individuals,1,-3,0,1,-3,1,1,1,0,NA,50
261,14,1,Individuals,1,2,1,2,1,0,0,0,0,1,50
262,14,2,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
263,14,3,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
